gene_id,gc
NC_002134.1_40,0.4470
NC_002134.1_41,0.4841
NC_002134.1_42,0.6340
NC_002134.1_43,0.5775
NC_002134.1_44,0.6219
NC_002134.1_45,0.6124
NC_002134.1_46,0.5295
NC_002134.1_47,0.5000
NC_002134.1_48,0.6167
NC_002134.1_49,0.6507
NC_002134.1_50,0.5013
NC_002134.1_51,0.5419
NC_002134.1_52,0.5657
NC_002134.1_53,0.6562
NC_002134.1_54,0.6470
NC_002134.1_55,0.6356
NC_002134.1_56,0.6920
NC_002134.1_57,0.6970
NC_002134.1_58,0.6519
NC_002134.1_59,0.6572
NC_002134.1_60,0.6268
NC_002134.1_61,0.6125
NC_002134.1_62,0.5954
NC_002134.1_63,0.5397
NC_002134.1_64,0.5362
NC_002134.1_65,0.3455
NC_002134.1_66,0.5616
NC_002134.1_67,0.5349
NC_002134.1_68,0.5214
NC_002134.1_69,0.5723
NC_002134.1_70,0.4353
NC_002134.1_71,0.4992
NC_002134.1_72,0.3667
NC_002134.1_73,0.4848
NC_002134.1_74,0.5490
NC_002134.1_75,0.4402
NC_002134.1_76,0.5770
NC_002134.1_77,0.5995
NC_002134.1_78,0.5246
NC_002134.1_79,0.4553
NC_002134.1_80,0.4945
NC_002134.1_81,0.3729
NC_002134.1_82,0.5119
NC_002134.1_83,0.5211
NC_002134.1_84,0.3817
NC_002134.1_85,0.5568
NC_002134.1_86,0.5193
NC_002134.1_87,0.4058
NC_002134.1_88,0.5175
NC_002134.1_89,0.4070
NC_002134.1_90,0.5297
NC_002134.1_91,0.5282
NC_002134.1_92,0.5462
NC_002134.1_93,0.3529
NC_002134.1_94,0.5458
NC_002134.1_95,0.5972
NC_002134.1_96,0.5736
NC_002134.1_97,0.5431
NC_002134.1_98,0.3707
NC_002134.1_99,0.4338
NC_002134.1_100,0.4536
NC_002134.1_101,0.4420
NC_002134.1_102,0.5233
NC_002134.1_103,0.4173
NC_002134.1_104,0.5044
NC_002134.1_105,0.5785
NC_002134.1_106,0.5652
NC_002134.1_107,0.4621
NC_002134.1_108,0.4744
NC_002134.1_109,0.4750
NC_002134.1_110,0.3199
NC_002134.1_111,0.3880
NC_002134.1_112,0.4167
NC_002305.1_1,0.3893
NC_002305.1_2,0.4191
NC_002305.1_3,0.4231
NC_002305.1_4,0.4682
NC_002305.1_5,0.4810
NC_002305.1_6,0.4444
NC_002305.1_7,0.4749
NC_002305.1_8,0.4813
NC_002305.1_9,0.5140
NC_002305.1_10,0.4823
NC_002305.1_11,0.4886
NC_002305.1_12,0.4765
NC_002305.1_13,0.5254
NC_002305.1_14,0.5218
NC_002305.1_15,0.5512
NC_002305.1_16,0.3531
NC_002305.1_17,0.5126
NC_002305.1_18,0.4099
NC_002305.1_19,0.4884
NC_002305.1_20,0.4930
NC_002305.1_21,0.5417
NC_002305.1_22,0.5649
NC_002305.1_23,0.5869
NC_002305.1_24,0.5480
NC_002305.1_25,0.5096
NC_002305.1_26,0.3563
NC_002305.1_27,0.4615
NC_002305.1_28,0.3385
NC_002305.1_29,0.4567
NC_002305.1_30,0.4748
NC_002305.1_31,0.4916
NC_002305.1_32,0.4464
NC_002305.1_33,0.5045
NC_002305.1_34,0.4769
NC_002305.1_35,0.4742
NC_002305.1_36,0.4511
NC_002305.1_37,0.5020
NC_002305.1_38,0.4783
NC_002305.1_39,0.4066
NC_002305.1_40,0.4543
NC_002305.1_41,0.4175
NC_002305.1_42,0.4444
NC_002305.1_43,0.5098
NC_002305.1_44,0.5254
NC_002305.1_45,0.5041
NC_002305.1_46,0.4894
NC_002305.1_47,0.4618
NC_002305.1_48,0.5496
NC_002305.1_49,0.4598
NC_002305.1_50,0.5247
NC_002305.1_51,0.5102
NC_002305.1_52,0.5374
NC_002305.1_53,0.5326
NC_002305.1_54,0.4815
NC_002305.1_55,0.5442
NC_002305.1_56,0.4178
NC_002305.1_57,0.5042
NC_002305.1_58,0.4879
NC_002305.1_59,0.4950
NC_002305.1_60,0.4771
NC_002305.1_61,0.5000
NC_002305.1_62,0.4956
NC_002305.1_63,0.4671
NC_002305.1_64,0.4991
NC_002305.1_65,0.4767
NC_002305.1_66,0.4653
NC_002305.1_67,0.4407
NC_002305.1_68,0.3922
NC_002305.1_69,0.5508
NC_002305.1_70,0.5301
NC_002305.1_71,0.4438
NC_002305.1_72,0.3835
NC_002305.1_73,0.4419
NC_002305.1_74,0.3835
NC_002305.1_75,0.3982
NC_002305.1_76,0.3752
NC_002305.1_77,0.4601
NC_002305.1_78,0.4234
NC_002305.1_79,0.4118
NC_002305.1_80,0.4078
NC_002305.1_81,0.3593
NC_002305.1_82,0.4245
NC_002305.1_83,0.3840
NC_002305.1_84,0.3757
NC_002305.1_85,0.3664
NC_002305.1_86,0.4420
NC_002305.1_87,0.4570
NC_002305.1_88,0.4315
NC_002305.1_89,0.4805
NC_002305.1_90,0.4242
NC_002305.1_91,0.4831
NC_002305.1_92,0.3957
NC_002305.1_93,0.4545
NC_002305.1_94,0.4588
NC_002305.1_95,0.4000
NC_002305.1_96,0.4459
NC_002305.1_97,0.3643
NC_002305.1_98,0.4213
NC_002305.1_99,0.3733
NC_002305.1_100,0.4483
NC_002305.1_101,0.4048
NC_002305.1_102,0.3889
NC_002305.1_103,0.3969
NC_002305.1_104,0.3988
NC_002305.1_105,0.4314
NC_002305.1_106,0.4195
NC_002305.1_107,0.4753
NC_002305.1_108,0.4266
NC_002305.1_109,0.3957
NC_002305.1_110,0.4687
NC_002305.1_111,0.4014
NC_002305.1_112,0.4404
NC_002305.1_113,0.3893
NC_002305.1_114,0.3962
NC_002305.1_115,0.4492
NC_002305.1_116,0.4158
NC_002305.1_117,0.4349
NC_002305.1_118,0.3900
NC_002305.1_119,0.3930
NC_002305.1_120,0.4209
NC_002305.1_121,0.4501
NC_002305.1_122,0.4764
NC_002305.1_123,0.4965
NC_002305.1_124,0.5069
NC_002305.1_125,0.4746
NC_002305.1_126,0.5116
NC_002305.1_127,0.4583
NC_002305.1_128,0.5310
NC_002305.1_129,0.4457
NC_002305.1_130,0.4603
NC_002305.1_131,0.4992
NC_002305.1_132,0.5286
NC_002305.1_133,0.5172
NC_002305.1_134,0.5166
NC_002305.1_135,0.5357
NC_002305.1_136,0.5451
NC_002305.1_137,0.4944
NC_002305.1_138,0.4962
NC_002305.1_139,0.4942
NC_002305.1_140,0.5447
NC_002305.1_141,0.5315
NC_002305.1_142,0.5084
NC_002305.1_143,0.4744
NC_002305.1_144,0.4040
NC_002305.1_145,0.5323
NC_002305.1_146,0.5526
NC_002305.1_147,0.5026
NC_002305.1_148,0.5019
NC_002305.1_149,0.4877
NC_002305.1_150,0.5644
NC_002305.1_151,0.4151
NC_002305.1_152,0.4756
NC_002305.1_153,0.4407
NC_002305.1_154,0.4818
NC_002305.1_155,0.4952
NC_002305.1_156,0.4516
NC_002305.1_157,0.4206
NC_002305.1_158,0.3947
NC_002305.1_159,0.3489
NC_002305.1_160,0.3902
NC_002305.1_161,0.4119
NC_002305.1_162,0.4022
NC_002305.1_163,0.4337
NC_002305.1_164,0.3266
NC_002305.1_165,0.3597
NC_002305.1_166,0.4475
NC_002305.1_167,0.4137
NC_002305.1_168,0.4357
NC_002305.1_169,0.4628
NC_002305.1_170,0.4736
NC_002305.1_171,0.4828
NC_002305.1_172,0.4928
NC_002305.1_173,0.4667
NC_002305.1_174,0.5314
NC_002305.1_175,0.5290
NC_002305.1_176,0.5247
NC_002305.1_177,0.5000
NC_002305.1_178,0.4877
NC_002305.1_179,0.6199
NC_002305.1_180,0.5213
NC_002305.1_181,0.5330
NC_002305.1_182,0.4861
NC_002305.1_183,0.5323
NC_002305.1_184,0.5038
NC_002305.1_185,0.5448
NC_002305.1_186,0.5248
NC_002305.1_187,0.4184
NC_002305.1_188,0.4475
NC_002305.1_189,0.4927
NC_002305.1_190,0.5359
NC_002305.1_191,0.5128
NC_002305.1_192,0.4317
NC_002305.1_193,0.5154
NC_002305.1_194,0.4832
NC_002305.1_195,0.5059
NC_002305.1_196,0.4118
NC_002305.1_197,0.4719
NC_002305.1_198,0.4518
NC_002305.1_199,0.4486
NC_002305.1_200,0.4315
NC_002305.1_201,0.4053
NC_002483.1_1,0.4456
NC_002483.1_2,0.4428
NC_002483.1_3,0.5278
NC_002483.1_4,0.4836
NC_002483.1_5,0.6028
NC_002483.1_6,0.5678
NC_002483.1_7,0.5814
NC_002483.1_8,0.5085
NC_002483.1_9,0.5981
NC_002483.1_10,0.5000
NC_002483.1_11,0.5579
NC_002483.1_12,0.5493
NC_002483.1_13,0.6182
NC_002483.1_14,0.6088
NC_002483.1_15,0.5816
NC_002483.1_16,0.5360
NC_002483.1_17,0.5702
NC_002483.1_18,0.6479
NC_002483.1_19,0.5388
NC_002483.1_20,0.5523
NC_002483.1_21,0.6081
NC_002483.1_22,0.4609
NC_002483.1_23,0.4722
NC_002483.1_24,0.4722
NC_002483.1_25,0.5737
NC_002483.1_26,0.5033
NC_002483.1_27,0.5068
NC_002483.1_28,0.6309
NC_002483.1_29,0.4843
NC_002483.1_30,0.4722
NC_002483.1_31,0.4570
NC_002483.1_32,0.3690
NC_002483.1_33,0.5249
NC_002483.1_34,0.5215
NC_002483.1_35,0.5083
NC_002483.1_36,0.5722
NC_002483.1_37,0.4193
NC_002483.1_38,0.4188
NC_002483.1_39,0.4460
NC_002483.1_40,0.2852
NC_002483.1_41,0.4047
NC_002483.1_42,0.3120
NC_002483.1_43,0.2843
NC_002483.1_44,0.4848
NC_002483.1_45,0.5301
NC_002483.1_46,0.5508
NC_002483.1_47,0.5632
NC_002483.1_48,0.5467
NC_002483.1_49,0.5033
NC_002483.1_50,0.2803
NC_002483.1_51,0.3357
NC_002483.1_52,0.3207
NC_002483.1_53,0.2619
NC_002483.1_54,0.3017
NC_002483.1_55,0.3089
NC_002483.1_56,0.4845
NC_002483.1_57,0.4457
NC_002483.1_58,0.3433
NC_002483.1_59,0.4922
NC_002483.1_60,0.4589
NC_002483.1_61,0.4295
NC_002483.1_62,0.5608
NC_002483.1_63,0.5294
NC_002483.1_64,0.5513
NC_002483.1_65,0.5000
NC_002483.1_66,0.5789
NC_002483.1_67,0.5797
NC_002483.1_68,0.5963
NC_002483.1_69,0.5175
NC_002483.1_70,0.4962
NC_002483.1_71,0.5218
NC_002483.1_72,0.5020
NC_002483.1_73,0.3467
NC_002483.1_74,0.5037
NC_002483.1_75,0.5163
NC_002483.1_76,0.3806
NC_002483.1_77,0.4433
NC_002483.1_78,0.5678
NC_002483.1_79,0.5333
NC_002483.1_80,0.3365
NC_002483.1_81,0.4109
NC_002483.1_82,0.5175
NC_002483.1_83,0.4109
NC_002483.1_84,0.5252
NC_002483.1_85,0.5524
NC_002483.1_86,0.5529
NC_002483.1_87,0.5956
NC_002483.1_88,0.5762
NC_002483.1_89,0.5407
NC_002483.1_90,0.4000
NC_002483.1_91,0.4414
NC_002483.1_92,0.5329
NC_002483.1_93,0.4246
NC_002483.1_94,0.4091
NC_002483.1_95,0.5025
NC_002483.1_96,0.5728
NC_002483.1_97,0.5693
NC_002483.1_98,0.4691
NC_002483.1_99,0.4712
NC_002483.1_100,0.5164
NC_002483.1_101,0.3813
NC_002483.1_102,0.3348
NC_002483.1_103,0.3854
NC_002525.1_1,0.3250
NC_002525.1_2,0.3447
NC_002525.1_3,0.3383
NC_002525.1_4,0.4846
NC_002525.1_5,0.4087
NC_002525.1_6,0.4426
NC_002525.1_7,0.4054
NC_002525.1_8,0.4045
NC_002525.1_9,0.4027
NC_002525.1_10,0.4400
NC_002525.1_11,0.4365
NC_002525.1_12,0.4519
NC_002525.1_13,0.4218
NC_002525.1_14,0.4815
NC_002525.1_15,0.5161
NC_002525.1_16,0.4799
NC_002525.1_17,0.5311
NC_002525.1_18,0.4838
NC_002525.1_19,0.3966
NC_002525.1_20,0.4227
NC_002525.1_21,0.4893
NC_002525.1_22,0.4583
NC_002525.1_23,0.4148
NC_002525.1_24,0.3226
NC_002525.1_25,0.4008
NC_002525.1_26,0.3525
NC_002525.1_27,0.3956
NC_002525.1_28,0.3000
NC_002525.1_29,0.3580
NC_002525.1_30,0.3909
NC_002525.1_31,0.4429
NC_002525.1_32,0.4667
NC_002525.1_33,0.4311
NC_002525.1_34,0.4954
NC_002525.1_35,0.4284
NC_002525.1_36,0.4617
NC_002525.1_37,0.4815
NC_002525.1_38,0.5131
NC_002525.1_39,0.3974
NC_002525.1_40,0.3935
NC_002525.1_41,0.4520
NC_002525.1_42,0.4387
NC_002525.1_43,0.3806
NC_002525.1_44,0.3099
NC_002525.1_45,0.3982
NC_002525.1_46,0.3662
NC_002525.1_47,0.3939
NC_002525.1_48,0.3513
NC_002525.1_49,0.3721
NC_002525.1_50,0.4046
NC_002525.1_51,0.3785
NC_002525.1_52,0.3961
NC_002525.1_53,0.3630
NC_002525.1_54,0.4827
NC_002525.1_55,0.4911
NC_002525.1_56,0.4482
NC_002525.1_57,0.3813
NC_002525.1_58,0.3860
NC_002525.1_59,0.3778
NC_002525.1_60,0.4605
NC_002525.1_61,0.4070
NC_002525.1_62,0.4330
NC_002525.1_63,0.4148
NC_002525.1_64,0.3878
NC_002525.1_65,0.4189
NC_002525.1_66,0.4526
NC_002525.1_67,0.4044
NC_002525.1_68,0.4191
NC_002525.1_69,0.3430
NC_002525.1_70,0.4599
NC_002525.1_71,0.4485
NC_002525.1_72,0.4167
NC_002525.1_73,0.4788
NC_002525.1_74,0.3937
NC_002525.1_75,0.4319
NC_002525.1_76,0.3913
NC_002525.1_77,0.3758
NC_002525.1_78,0.4848
NC_002525.1_79,0.5061
NC_002525.1_80,0.4720
NC_002525.1_81,0.3425
NC_002525.1_82,0.4399
NC_002525.1_83,0.3476
NC_002525.1_84,0.3767
NC_002525.1_85,0.4492
NC_002525.1_86,0.3527
NC_002525.1_87,0.3717
NC_002525.1_88,0.4203
NC_002525.1_89,0.3333
NC_002525.1_90,0.4319
NC_002525.1_91,0.4160
NC_002525.1_92,0.3447
NC_002525.1_93,0.4318
NC_002525.1_94,0.3363
NC_003277.2_1,0.4825
NC_003277.2_2,0.4261
NC_003277.2_3,0.4444
NC_003277.2_4,0.5346
NC_003277.2_5,0.6098
NC_003277.2_6,0.5880
NC_003277.2_7,0.5861
NC_003277.2_8,0.5556
NC_003277.2_9,0.5723
NC_003277.2_10,0.4938
NC_003277.2_11,0.5247
NC_003277.2_12,0.5356
NC_003277.2_13,0.5172
NC_003277.2_14,0.6131
NC_003277.2_15,0.5773
NC_003277.2_16,0.5541
NC_003277.2_17,0.5903
NC_003277.2_18,0.5406
NC_003277.2_19,0.5414
NC_003277.2_20,0.5532
NC_003277.2_21,0.5412
NC_003277.2_22,0.4472
NC_003277.2_23,0.4685
NC_003277.2_24,0.5319
NC_003277.2_25,0.5382
NC_003277.2_26,0.5732
NC_003277.2_27,0.5268
NC_003277.2_28,0.5961
NC_003277.2_29,0.5842
NC_003277.2_30,0.5317
NC_003277.2_31,0.4926
NC_003277.2_32,0.5651
NC_003277.2_33,0.5562
NC_003277.2_34,0.5397
NC_003277.2_35,0.5202
NC_003277.2_36,0.4470
NC_003277.2_37,0.4083
NC_003277.2_38,0.5394
NC_003277.2_39,0.5430
NC_003277.2_40,0.5493
NC_003277.2_41,0.5186
NC_003277.2_42,0.4545
NC_003277.2_43,0.3287
NC_003277.2_44,0.5144
NC_003277.2_45,0.4672
NC_003277.2_46,0.6435
NC_003277.2_47,0.6771
NC_003277.2_48,0.6872
NC_003277.2_49,0.6564
NC_003277.2_50,0.6576
NC_003277.2_51,0.6066
NC_003277.2_52,0.5996
NC_003277.2_53,0.6254
NC_003277.2_54,0.5784
NC_003277.2_55,0.5388
NC_003277.2_56,0.4458
NC_003277.2_57,0.5212
NC_003277.2_58,0.4429
NC_003277.2_59,0.4356
NC_003277.2_60,0.5318
NC_003277.2_61,0.5899
NC_003277.2_62,0.5844
NC_003277.2_63,0.5018
NC_003277.2_64,0.4565
NC_003277.2_65,0.4600
NC_003277.2_66,0.4649
NC_003277.2_67,0.5023
NC_003277.2_68,0.5897
NC_003277.2_69,0.5627
NC_003277.2_70,0.5753
NC_003277.2_71,0.6000
NC_003277.2_72,0.5824
NC_003277.2_73,0.4638
NC_003277.2_74,0.5701
NC_003277.2_75,0.3902
NC_003277.2_76,0.5365
NC_003277.2_77,0.5460
NC_003277.2_78,0.5370
NC_003277.2_79,0.5368
NC_003277.2_80,0.5880
NC_003277.2_81,0.6073
NC_003277.2_82,0.6148
NC_003277.2_83,0.5263
NC_003277.2_84,0.5363
NC_003277.2_85,0.5437
NC_003277.2_86,0.5041
NC_003277.2_87,0.3824
NC_003277.2_88,0.5200
NC_003277.2_89,0.5394
NC_003277.2_90,0.5665
NC_003277.2_91,0.5136
NC_003277.2_92,0.5320
NC_003277.2_93,0.4815
NC_003277.2_94,0.5446
NC_003277.2_95,0.5429
NC_003277.2_96,0.5775
NC_003277.2_97,0.4389
NC_003277.2_98,0.5680
NC_003277.2_99,0.6161
NC_003277.2_100,0.6021
NC_003277.2_101,0.5696
NC_003277.2_102,0.5341
NC_003277.2_103,0.4667
NC_003277.2_104,0.5107
NC_003277.2_105,0.4865
NC_003277.2_106,0.5833
NC_003277.2_107,0.3882
NC_003277.2_108,0.5159
NC_003277.2_109,0.5795
NC_003277.2_110,0.6154
NC_003277.2_111,0.4885
NC_003277.2_112,0.4840
NC_003277.2_113,0.5344
NC_003277.2_114,0.3947
NC_003277.2_115,0.3493
NC_003277.2_116,0.3596
NC_003292.1_1,0.4187
NC_003292.1_2,0.4156
NC_003292.1_3,0.4770
NC_003292.1_4,0.5623
NC_003292.1_5,0.5389
NC_003292.1_6,0.5000
NC_003292.1_7,0.4549
NC_003292.1_8,0.5333
NC_003292.1_9,0.4545
NC_003292.1_10,0.4250
NC_003292.1_11,0.4864
NC_003292.1_12,0.4789
NC_003292.1_13,0.5193
NC_003292.1_14,0.5348
NC_003292.1_15,0.5227
NC_003292.1_16,0.4357
NC_003292.1_17,0.4403
NC_003292.1_18,0.4673
NC_003292.1_19,0.6114
NC_003292.1_20,0.5000
NC_003292.1_21,0.5295
NC_003292.1_22,0.5000
NC_003292.1_23,0.5000
NC_003292.1_24,0.6167
NC_003292.1_25,0.6231
NC_003292.1_26,0.5464
NC_003292.1_27,0.5319
NC_003292.1_28,0.5879
NC_003292.1_29,0.6131
NC_003292.1_30,0.6124
NC_003292.1_31,0.5278
NC_003292.1_32,0.5395
NC_003292.1_33,0.5069
NC_003292.1_34,0.5131
NC_003292.1_35,0.5233
NC_003292.1_36,0.4906
NC_003292.1_37,0.5435
NC_003292.1_38,0.5201
NC_003292.1_39,0.4792
NC_003292.1_40,0.5319
NC_003292.1_41,0.3131
NC_003292.1_42,0.4907
NC_003292.1_43,0.5064
NC_003292.1_44,0.4571
NC_003292.1_45,0.3492
NC_003292.1_46,0.5163
NC_003292.1_47,0.5075
NC_003292.1_48,0.4220
NC_003292.1_49,0.4864
NC_003292.1_50,0.4327
NC_003292.1_51,0.4971
NC_003292.1_52,0.5126
NC_003292.1_53,0.4737
NC_003292.1_54,0.5293
NC_003292.1_55,0.5050
NC_003292.1_56,0.5017
NC_003292.1_57,0.5409
NC_003292.1_58,0.5000
NC_003292.1_59,0.5169
NC_003292.1_60,0.5391
NC_003292.1_61,0.5264
NC_003292.1_62,0.4399
NC_003292.1_63,0.4964
NC_003384.1_1,0.3893
NC_003384.1_2,0.4191
NC_003384.1_3,0.4241
NC_003384.1_4,0.4682
NC_003384.1_5,0.4810
NC_003384.1_6,0.4470
NC_003384.1_7,0.4731
NC_003384.1_8,0.4813
NC_003384.1_9,0.5165
NC_003384.1_10,0.4823
NC_003384.1_11,0.4886
NC_003384.1_12,0.4753
NC_003384.1_13,0.5254
NC_003384.1_14,0.5218
NC_003384.1_15,0.5528
NC_003384.1_16,0.3447
NC_003384.1_17,0.4508
NC_003384.1_18,0.4206
NC_003384.1_19,0.4021
NC_003384.1_20,0.3720
NC_003384.1_21,0.3489
NC_003384.1_22,0.3902
NC_003384.1_23,0.4135
NC_003384.1_24,0.4022
NC_003384.1_25,0.4337
NC_003384.1_26,0.3490
NC_003384.1_27,0.5509
NC_003384.1_28,0.4905
NC_003384.1_29,0.5954
NC_003384.1_30,0.6125
NC_003384.1_31,0.6232
NC_003384.1_32,0.6572
NC_003384.1_33,0.6519
NC_003384.1_34,0.6970
NC_003384.1_35,0.6920
NC_003384.1_36,0.6356
NC_003384.1_37,0.6485
NC_003384.1_38,0.5305
NC_003384.1_39,0.5591
NC_003384.1_40,0.5622
NC_003384.1_41,0.6066
NC_003384.1_42,0.6608
NC_003384.1_43,0.6794
NC_003384.1_44,0.5319
NC_003384.1_45,0.5672
NC_003384.1_46,0.4913
NC_003384.1_47,0.5437
NC_003384.1_48,0.5305
NC_003384.1_49,0.6484
NC_003384.1_50,0.5319
NC_003384.1_51,0.6329
NC_003384.1_52,0.4816
NC_003384.1_53,0.4841
NC_003384.1_54,0.4470
NC_003384.1_55,0.5362
NC_003384.1_56,0.3135
NC_003384.1_57,0.5286
NC_003384.1_58,0.4433
NC_003384.1_59,0.4536
NC_003384.1_60,0.4930
NC_003384.1_61,0.4884
NC_003384.1_62,0.4099
NC_003384.1_63,0.5123
NC_003384.1_64,0.4508
NC_003384.1_65,0.3391
NC_003384.1_66,0.3725
NC_003384.1_67,0.3567
NC_003384.1_68,0.4286
NC_003384.1_69,0.3385
NC_003384.1_70,0.4567
NC_003384.1_71,0.4845
NC_003384.1_72,0.4895
NC_003384.1_73,0.4464
NC_003384.1_74,0.5046
NC_003384.1_75,0.4804
NC_003384.1_76,0.4742
NC_003384.1_77,0.4540
NC_003384.1_78,0.5040
NC_003384.1_79,0.4798
NC_003384.1_80,0.4066
NC_003384.1_81,0.4568
NC_003384.1_82,0.4645
NC_003384.1_83,0.4444
NC_003384.1_84,0.5098
NC_003384.1_85,0.5266
NC_003384.1_86,0.4386
NC_003384.1_87,0.4289
NC_003384.1_88,0.4784
NC_003384.1_89,0.4730
NC_003384.1_90,0.6044
NC_003384.1_91,0.6111
NC_003384.1_92,0.6114
NC_003384.1_93,0.4599
NC_003384.1_94,0.5404
NC_003384.1_95,0.6010
NC_003384.1_96,0.5915
NC_003384.1_97,0.6203
NC_003384.1_98,0.6721
NC_003384.1_99,0.6512
NC_003384.1_100,0.6197
NC_003384.1_101,0.6196
NC_003384.1_102,0.6120
NC_003384.1_103,0.6075
NC_003384.1_104,0.5092
NC_003384.1_105,0.4894
NC_003384.1_106,0.4804
NC_003384.1_107,0.5471
NC_003384.1_108,0.4598
NC_003384.1_109,0.5227
NC_003384.1_110,0.5112
NC_003384.1_111,0.5340
NC_003384.1_112,0.5326
NC_003384.1_113,0.4802
NC_003384.1_114,0.5290
NC_003384.1_115,0.4178
NC_003384.1_116,0.5042
NC_003384.1_117,0.4879
NC_003384.1_118,0.4950
NC_003384.1_119,0.4760
NC_003384.1_120,0.4964
NC_003384.1_121,0.4912
NC_003384.1_122,0.4627
NC_003384.1_123,0.5009
NC_003384.1_124,0.4767
NC_003384.1_125,0.4653
NC_003384.1_126,0.4444
NC_003384.1_127,0.4201
NC_003384.1_128,0.3825
NC_003384.1_129,0.4419
NC_003384.1_130,0.3835
NC_003384.1_131,0.3970
NC_003384.1_132,0.3752
NC_003384.1_133,0.4601
NC_003384.1_134,0.4234
NC_003384.1_135,0.4118
NC_003384.1_136,0.4078
NC_003384.1_137,0.3593
NC_003384.1_138,0.4255
NC_003384.1_139,0.3840
NC_003384.1_140,0.3757
