replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
NC_002305.1	NC_002305.1_182	Mok_Hok_Sok__Hok	182	defense-finder-models/DefenseFinder/Mok_Hok_Sok/Mok_Hok_Sok	NC_002305.1_Mok_Hok_Sok_1	1	1	0.5	1.0	1	Mok_Hok_Sok__Hok	mandatory	72	5.1e-29	93.7	1.0	0.722	20	71			Mok_Hok_Sok	Mok_Hok_Sok	Defense
NC_002483.1	NC_002483.1_4	Mok_Hok_Sok__Mok	4	defense-finder-models/DefenseFinder/Mok_Hok_Sok/Mok_Hok_Sok	NC_002483.1_Mok_Hok_Sok_1	1	1	0.5	1.0	1	Mok_Hok_Sok__Mok	mandatory	71	2.4e-49	158.2	0.897	0.986	1	70			Mok_Hok_Sok	Mok_Hok_Sok	Defense
NC_002483.1	NC_002483.1_5	psib	5	defense-finder-models/ADF/Other/psiab	NC_002483.1_psiab_5	1	1	1.0	2.0	1	psib	mandatory	240	3.7e-72	235.1	0.975	0.975	4	237			Other	psiab	Antidefense
NC_002483.1	NC_002483.1_6	psia	6	defense-finder-models/ADF/Other/psiab	NC_002483.1_psiab_5	1	1	1.0	2.0	1	psia	mandatory	145	1.0999999999999999e-91	296.5	0.993	0.986	1	143			Other	psiab	Antidefense
NC_002483.1	NC_002483.1_12	ardb	12	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_002483.1_ardb_klca_acric11_4	1	1	1.0	1.0	1	ardb	mandatory	142	6.1e-95	307.0	1.0	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
NC_002483.1	NC_002483.1_28	Pif__PifC	28	defense-finder-models/DefenseFinder/Pif/Pif	NC_002483.1_Pif_2	1	1	1.0	2.0	1	Pif__PifC	mandatory	363	3.6e-235	772.2	1.0	0.997	1	362			Pif	Pif	Defense
NC_002483.1	NC_002483.1_29	Pif__PifA	29	defense-finder-models/DefenseFinder/Pif/Pif	NC_002483.1_Pif_2	1	1	1.0	2.0	1	Pif__PifA	mandatory	742	0.0	1434.5	1.0	0.999	1	741			Pif	Pif	Defense
NC_002483.1	NC_002483.1_30	TIR-III__TIR-III_B	30	defense-finder-models/DefenseFinder/TIR-III/TIR-III	NC_002483.1_TIR-III_3	1	1	1.0	2.0	1	TIR-III__TIR-III_B	mandatory	300	1.4000000000000002e-118	388.6	0.983	0.987	2	297			TIR-III	TIR-III	Defense
NC_002483.1	NC_002483.1_31	TIR-III__TIR-III_A	31	defense-finder-models/DefenseFinder/TIR-III/TIR-III	NC_002483.1_TIR-III_3	1	1	1.0	2.0	1	TIR-III__TIR-III_A	mandatory	97	1.7e-45	146.2	0.979	0.948	3	94			TIR-III	TIR-III	Defense
NC_002525.1	NC_002525.1_34	Mok_Hok_Sok__Mok	34	defense-finder-models/DefenseFinder/Mok_Hok_Sok/Mok_Hok_Sok	NC_002525.1_Mok_Hok_Sok_1	1	1	0.5	1.0	1	Mok_Hok_Sok__Mok	mandatory	72	8.9e-29	92.2	0.897	0.972	1	70			Mok_Hok_Sok	Mok_Hok_Sok	Defense
NC_002525.1	NC_002525.1_37	aca5	37	defense-finder-models/ADF/Anti_CRISPR/Aca_alone	NC_002525.1_Aca_alone_2	1	1	0.077	1.0	1	aca5	mandatory	54	1.5000000000000002e-28	90.9	0.879	0.944	1	51			Anti_CRISPR	Aca_alone	Antidefense
NC_003277.2	NC_003277.2_5	psib	5	defense-finder-models/ADF/Other/psiab	NC_003277.2_psiab_2	1	1	1.0	2.0	1	psib	mandatory	246	1.1e-55	181.5	0.992	0.972	1	239			Other	psiab	Antidefense
NC_003277.2	NC_003277.2_6	psia	6	defense-finder-models/ADF/Other/psiab	NC_003277.2_psiab_2	1	1	1.0	2.0	1	psia	mandatory	144	2.1e-64	208.2	0.986	0.986	1	142			Other	psiab	Antidefense
NC_003277.2	NC_003277.2_13	ardb	13	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_003277.2_ardb_klca_acric11_1	1	1	1.0	1.0	1	ardb	mandatory	145	9.8e-89	287.0	0.979	0.952	7	144			Anti_RM	ardb_klca_acric11	Antidefense
NC_003292.1	NC_003292.1_7	arda	7	defense-finder-models/ADF/Anti_RM/arda_ardu	NC_003292.1_arda_ardu_1	1	1	1.0	1.0	1	arda	mandatory	170	2.9e-88	286.0	0.982	0.971	2	166			Anti_RM	arda_ardu	Antidefense
NC_003292.1	NC_003292.1_11	ardr	11	defense-finder-models/ADF/Anti_RM/ardr	NC_003292.1_ardr_4	1	1	1.0	1.0	1	ardr	mandatory	135	1.3e-86	279.5	1.0	0.993	1	134			Anti_RM	ardr	Antidefense
NC_003292.1	NC_003292.1_12	klca	12	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_003292.1_ardb_klca_acric11_2	1	1	1.0	0.8	1	ardb	mandatory	142	3.7999999999999996e-35	112.9	0.828	0.972	4	141			Anti_RM	ardb_klca_acric11	Antidefense
NC_003292.1	NC_003292.1_16	ardk	16	defense-finder-models/ADF/Anti_RM/ardk	NC_003292.1_ardk_3	1	1	1.0	1.0	1	ardk	mandatory	114	3.0999999999999996e-49	157.5	0.991	0.982	1	112			Anti_RM	ardk	Antidefense
NC_003384.1	NC_003384.1_56	Shedu__SduA	56	defense-finder-models/DefenseFinder/Shedu/Shedu	NC_003384.1_Shedu_2	1	1	1.0	1.0	1	Shedu__SduA	mandatory	269	9.2e-60	197.0	0.594	0.866	7	239			Shedu	Shedu	Defense
NC_003384.1	NC_003384.1_233	Mok_Hok_Sok__Hok	233	defense-finder-models/DefenseFinder/Mok_Hok_Sok/Mok_Hok_Sok	NC_003384.1_Mok_Hok_Sok_1	1	1	0.5	1.0	1	Mok_Hok_Sok__Hok	mandatory	72	6.399999999999999e-29	93.7	1.0	0.722	20	71			Mok_Hok_Sok	Mok_Hok_Sok	Defense
NC_004464.2	NC_004464.2_8	klca	8	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_004464.2_ardb_klca_acric11_2	1	1	1.0	0.8	1	ardb	mandatory	147	2.2e-49	159.9	0.828	0.959	6	146			Anti_RM	ardb_klca_acric11	Antidefense
NC_004464.2	NC_004464.2_52	MazEF__MazF	52	defense-finder-models/DefenseFinder/MazEF/MazEF	NC_004464.2_MazEF_1	1	1	1.0	2.0	1	MazEF__MazF	mandatory	111	1.7e-16	52.9	0.91	0.964	2	108			MazEF	MazEF	Defense
NC_004464.2	NC_004464.2_53	MazEF__MazE	53	defense-finder-models/DefenseFinder/MazEF/MazEF	NC_004464.2_MazEF_1	1	1	1.0	2.0	1	MazEF__MazE	mandatory	86	1.6e-13	43.3	0.762	0.709	4	64			MazEF	MazEF	Defense
NC_005014.1	NC_005014.1_8	arda	8	defense-finder-models/ADF/Anti_RM/arda_ardu	NC_005014.1_arda_ardu_3	1	1	1.0	1.0	1	arda	mandatory	167	7.6e-96	311.7	0.982	0.988	1	165			Anti_RM	arda_ardu	Antidefense
NC_005014.1	NC_005014.1_10	psib	10	defense-finder-models/ADF/Other/psiab	NC_005014.1_psiab_5	1	1	1.0	2.0	1	psib	mandatory	240	4.9000000000000005e-65	212.2	0.975	0.975	4	237			Other	psiab	Antidefense
NC_005014.1	NC_005014.1_11	psia	11	defense-finder-models/ADF/Other/psiab	NC_005014.1_psiab_5	1	1	1.0	2.0	1	psia	mandatory	145	5.0000000000000004e-89	288.2	0.993	0.986	1	143			Other	psiab	Antidefense
NC_005014.1	NC_005014.1_17	ardb	17	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_005014.1_ardb_klca_acric11_4	1	1	1.0	1.0	1	ardb	mandatory	142	5.6e-94	304.2	1.0	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
NC_005014.1	NC_005014.1_32	Pif__PifC	32	defense-finder-models/DefenseFinder/Pif/Pif	NC_005014.1_Pif_1	1	1	1.0	2.0	1	Pif__PifC	mandatory	264	4.5e-138	453.1	0.591	0.811	1	214			Pif	Pif	Defense
NC_005014.1	NC_005014.1_34	Pif__PifA	34	defense-finder-models/DefenseFinder/Pif/Pif	NC_005014.1_Pif_1	1	1	1.0	2.0	1	Pif__PifA	mandatory	742	0.0	1434.5	1.0	0.999	1	741			Pif	Pif	Defense
NC_005014.1	NC_005014.1_35	TIR-III__TIR-III_B	35	defense-finder-models/DefenseFinder/TIR-III/TIR-III	NC_005014.1_TIR-III_2	1	1	1.0	2.0	1	TIR-III__TIR-III_B	mandatory	300	1.7000000000000002e-118	388.6	0.983	0.987	2	297			TIR-III	TIR-III	Defense
NC_005014.1	NC_005014.1_36	TIR-III__TIR-III_A	36	defense-finder-models/DefenseFinder/TIR-III/TIR-III	NC_005014.1_TIR-III_2	1	1	1.0	2.0	1	TIR-III__TIR-III_A	mandatory	97	4.2e-45	145.3	0.979	0.948	3	94			TIR-III	TIR-III	Defense
NC_005246.1	NC_005246.1_8	klca	8	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_005246.1_ardb_klca_acric11_2	1	1	1.0	0.8	1	ardb	mandatory	147	2.7e-46	149.5	0.828	0.959	6	146			Anti_RM	ardb_klca_acric11	Antidefense
NC_005246.1	NC_005246.1_51	MazEF__MazF	51	defense-finder-models/DefenseFinder/MazEF/MazEF	NC_005246.1_MazEF_1	1	1	1.0	2.0	1	MazEF__MazF	mandatory	111	1.6e-16	52.6	0.91	0.964	2	108			MazEF	MazEF	Defense
NC_005246.1	NC_005246.1_52	MazEF__MazE	52	defense-finder-models/DefenseFinder/MazEF/MazEF	NC_005246.1_MazEF_1	1	1	1.0	2.0	1	MazEF__MazE	mandatory	86	1.2e-13	43.3	0.762	0.709	4	64			MazEF	MazEF	Defense
NC_005327.1	NC_005327.1_7	Mok_Hok_Sok__Mok	7	defense-finder-models/DefenseFinder/Mok_Hok_Sok/Mok_Hok_Sok	NC_005327.1_Mok_Hok_Sok_2	1	1	0.5	1.0	1	Mok_Hok_Sok__Mok	mandatory	71	3.7e-52	167.2	0.897	0.986	1	70			Mok_Hok_Sok	Mok_Hok_Sok	Defense
NC_005327.1	NC_005327.1_8	psib	8	defense-finder-models/ADF/Other/psiab	NC_005327.1_psiab_4	1	1	1.0	2.0	1	psib	mandatory	240	8.8e-72	233.9	0.975	0.975	4	237			Other	psiab	Antidefense
NC_005327.1	NC_005327.1_9	psia	9	defense-finder-models/ADF/Other/psiab	NC_005327.1_psiab_4	1	1	1.0	2.0	1	psia	mandatory	145	3.5999999999999997e-93	301.2	0.993	0.986	1	143			Other	psiab	Antidefense
NC_005327.1	NC_005327.1_20	ardb	20	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_005327.1_ardb_klca_acric11_3	1	1	1.0	1.0	1	ardb	mandatory	142	1e-95	309.5	1.0	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
NC_005327.1	NC_005327.1_57	MazEF__MazF	57	defense-finder-models/DefenseFinder/MazEF/MazEF	NC_005327.1_MazEF_1	1	1	1.0	2.0	1	MazEF__MazF	mandatory	111	1.3e-16	53.2	0.919	0.973	2	109			MazEF	MazEF	Defense
NC_005327.1	NC_005327.1_58	MazEF__MazE	58	defense-finder-models/DefenseFinder/MazEF/MazEF	NC_005327.1_MazEF_1	1	1	1.0	2.0	1	MazEF__MazE	mandatory	86	2.9e-13	42.4	0.762	0.709	4	64			MazEF	MazEF	Defense
NC_006671.1	NC_006671.1_4	Mok_Hok_Sok__Mok	4	defense-finder-models/DefenseFinder/Mok_Hok_Sok/Mok_Hok_Sok	NC_006671.1_Mok_Hok_Sok_1	1	1	0.5	1.0	1	Mok_Hok_Sok__Mok	mandatory	71	4.1e-52	167.2	0.897	0.986	1	70			Mok_Hok_Sok	Mok_Hok_Sok	Defense
NC_006671.1	NC_006671.1_5	psib	5	defense-finder-models/ADF/Other/psiab	NC_006671.1_psiab_3	1	1	1.0	2.0	1	psib	mandatory	240	4.1e-72	235.1	0.975	0.975	4	237			Other	psiab	Antidefense
NC_006671.1	NC_006671.1_6	psia	6	defense-finder-models/ADF/Other/psiab	NC_006671.1_psiab_3	1	1	1.0	2.0	1	psia	mandatory	145	1.3e-92	299.5	0.993	0.986	1	143			Other	psiab	Antidefense
NC_006671.1	NC_006671.1_16	ardb	16	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_006671.1_ardb_klca_acric11_2	1	1	1.0	1.0	1	ardb	mandatory	142	5.6999999999999996e-95	307.2	1.0	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
NC_007365.1	NC_007365.1_11	arda	11	defense-finder-models/ADF/Anti_RM/arda_ardu	NC_007365.1_arda_ardu_1	1	1	1.0	1.0	1	arda	mandatory	167	7.9e-97	315.3	0.982	0.988	1	165			Anti_RM	arda_ardu	Antidefense
NC_007365.1	NC_007365.1_13	psib	13	defense-finder-models/ADF/Other/psiab	NC_007365.1_psiab_3	1	1	1.0	2.0	1	psib	mandatory	240	6.3000000000000005e-65	212.2	0.975	0.975	4	237			Other	psiab	Antidefense
NC_007365.1	NC_007365.1_14	psia	14	defense-finder-models/ADF/Other/psiab	NC_007365.1_psiab_3	1	1	1.0	2.0	1	psia	mandatory	145	9.6e-89	287.6	0.993	0.986	1	143			Other	psiab	Antidefense
NC_007365.1	NC_007365.1_20	ardb	20	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_007365.1_ardb_klca_acric11_2	1	1	1.0	1.0	1	ardb	mandatory	142	1.3e-94	306.7	1.0	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
NC_007675.1	NC_007675.1_6	Mok_Hok_Sok__Mok	6	defense-finder-models/DefenseFinder/Mok_Hok_Sok/Mok_Hok_Sok	NC_007675.1_Mok_Hok_Sok_1	1	1	0.5	1.0	1	Mok_Hok_Sok__Mok	mandatory	40	5.4e-11	36.2	0.462	0.9	1	36			Mok_Hok_Sok	Mok_Hok_Sok	Defense
NC_007675.1	NC_007675.1_7	psib	7	defense-finder-models/ADF/Other/psiab	NC_007675.1_psiab_2	1	1	1.0	2.0	1	psib	mandatory	240	7.3e-72	235.1	0.975	0.975	4	237			Other	psiab	Antidefense
NC_007675.1	NC_007675.1_8	psia	8	defense-finder-models/ADF/Other/psiab	NC_007675.1_psiab_2	1	1	1.0	2.0	1	psia	mandatory	145	9.8e-91	294.3	0.993	0.986	1	143			Other	psiab	Antidefense
NC_007682.3	NC_007682.3_9	ardr	9	defense-finder-models/ADF/Anti_RM/ardr	NC_007682.3_ardr_4	1	1	1.0	1.0	1	ardr	mandatory	140	1.6e-86	279.3	1.0	0.957	1	134			Anti_RM	ardr	Antidefense
NC_007682.3	NC_007682.3_10	klca	10	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_007682.3_ardb_klca_acric11_2	1	1	1.0	0.8	1	ardb	mandatory	142	4e-35	112.9	0.828	0.972	4	141			Anti_RM	ardb_klca_acric11	Antidefense
NC_007682.3	NC_007682.3_14	ardk	14	defense-finder-models/ADF/Anti_RM/ardk	NC_007682.3_ardk_3	1	1	1.0	1.0	1	ardk	mandatory	114	3.2999999999999997e-49	157.5	0.991	0.982	1	112			Anti_RM	ardk	Antidefense
NC_007682.3	NC_007682.3_20	RM_Type_II__Type_II_REase27	20	defense-finder-models/RM/RM/RM_Type_II	NC_007682.3_RM_Type_II_1	1	1	1.0	2.0	1	RM_Type_II__Type_II_REase01	mandatory	385	7e-74	242.3	0.78	0.883	43	382			RM	RM_Type_II	Defense
NC_007682.3	NC_007682.3_21	RM_Type_II__Type_II_MTases_FAM_2	21	defense-finder-models/RM/RM/RM_Type_II	NC_007682.3_RM_Type_II_1	1	1	1.0	2.0	1	RM_Type_II__Type_II_MTases_FAM_0	mandatory	478	1.5e-119	391.0	0.978	0.774	94	463			RM	RM_Type_II	Defense
NC_007941.1	NC_007941.1_4	Mok_Hok_Sok__Mok	4	defense-finder-models/DefenseFinder/Mok_Hok_Sok/Mok_Hok_Sok	NC_007941.1_Mok_Hok_Sok_1	1	1	0.5	1.0	1	Mok_Hok_Sok__Mok	mandatory	71	1.4e-50	162.5	0.897	0.986	1	70			Mok_Hok_Sok	Mok_Hok_Sok	Defense
NC_007941.1	NC_007941.1_5	psib	5	defense-finder-models/ADF/Other/psiab	NC_007941.1_psiab_3	1	1	1.0	2.0	1	psib	mandatory	240	3.5000000000000003e-71	232.3	0.971	0.971	4	236			Other	psiab	Antidefense
NC_007941.1	NC_007941.1_6	psia	6	defense-finder-models/ADF/Other/psiab	NC_007941.1_psiab_3	1	1	1.0	2.0	1	psia	mandatory	145	6.5999999999999994e-93	300.7	0.993	0.986	1	143			Other	psiab	Antidefense
NC_007941.1	NC_007941.1_16	ardb	16	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_007941.1_ardb_klca_acric11_2	1	1	1.0	1.0	1	ardb	mandatory	142	2.3e-94	305.4	1.0	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
NC_008460.1	NC_008460.1_5	Mok_Hok_Sok__Mok	5	defense-finder-models/DefenseFinder/Mok_Hok_Sok/Mok_Hok_Sok	NC_008460.1_Mok_Hok_Sok_1	1	1	0.5	1.0	1	Mok_Hok_Sok__Mok	mandatory	72	4.1e-21	68.2	0.897	0.972	1	70			Mok_Hok_Sok	Mok_Hok_Sok	Defense
NC_008460.1	NC_008460.1_6	psib	6	defense-finder-models/ADF/Other/psiab	NC_008460.1_psiab_3	1	1	1.0	2.0	1	psib	mandatory	240	1.5e-71	233.6	0.975	0.975	4	237			Other	psiab	Antidefense
NC_008460.1	NC_008460.1_7	psia	7	defense-finder-models/ADF/Other/psiab	NC_008460.1_psiab_3	1	1	1.0	2.0	1	psia	mandatory	145	3.9e-93	301.6	0.993	0.986	1	143			Other	psiab	Antidefense
NC_008460.1	NC_008460.1_17	ardb	17	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_008460.1_ardb_klca_acric11_2	1	1	1.0	1.0	1	ardb	mandatory	142	2.7e-94	305.3	1.0	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
NC_008612.1	NC_008612.1_59	vcrx093	59	defense-finder-models/ADF/Anti_CRISPR/vcrx091_093	NC_008612.1_vcrx091_093_3	1	1	1.0	3.0	1	vcrx093	mandatory	337	4.8999999999999995e-147	483.1	0.954	0.976	1	329			Anti_CRISPR	vcrx091_093	Antidefense
NC_008612.1	NC_008612.1_60	vcrx092	60	defense-finder-models/ADF/Anti_CRISPR/vcrx091_093	NC_008612.1_vcrx091_093_3	1	1	1.0	3.0	1	vcrx092	mandatory	344	5.8e-165	541.8	0.985	0.942	13	336			Anti_CRISPR	vcrx091_093	Antidefense
NC_008612.1	NC_008612.1_61	vcrx091	61	defense-finder-models/ADF/Anti_CRISPR/vcrx091_093	NC_008612.1_vcrx091_093_3	1	1	1.0	3.0	1	vcrx091	mandatory	176	1.6000000000000002e-81	266.4	0.68	0.966	1	170			Anti_CRISPR	vcrx091_093	Antidefense
NC_008612.1	NC_008612.1_62	vcrx090	62	defense-finder-models/ADF/Anti_RM/vcrx089_090	NC_008612.1_vcrx089_090_2	1	1	1.0	2.0	1	vcrx090	mandatory	303	2.3e-178	585.2	1.0	0.997	1	302			Anti_RM	vcrx089_090	Antidefense
NC_008612.1	NC_008612.1_63	vcrx089	63	defense-finder-models/ADF/Anti_RM/vcrx089_090	NC_008612.1_vcrx089_090_2	1	1	1.0	2.0	1	vcrx089	mandatory	323	2.3999999999999998e-141	464.8	0.792	0.978	5	320			Anti_RM	vcrx089_090	Antidefense
NC_008612.1	NC_008612.1_129	RM_Type_II__Type_II_REase27	129	defense-finder-models/RM/RM/RM_Type_II	NC_008612.1_RM_Type_II_1	1	1	1.0	2.0	1	RM_Type_II__Type_II_REase01	mandatory	189	7.499999999999999e-54	177.8	0.513	0.884	20	186			RM	RM_Type_II	Defense
NC_008612.1	NC_008612.1_130	RM_Type_II__Type_II_MTases_FAM_2	130	defense-finder-models/RM/RM/RM_Type_II	NC_008612.1_RM_Type_II_1	1	1	1.0	2.0	1	RM_Type_II__Type_II_MTases_FAM_0	mandatory	451	2e-69	227.8	0.662	0.532	197	436			RM	RM_Type_II	Defense
NC_008613.1	NC_008613.1_58	vcrx093	58	defense-finder-models/ADF/Anti_CRISPR/vcrx091_093	NC_008613.1_vcrx091_093_2	1	1	1.0	3.0	1	vcrx093	mandatory	337	4.2e-147	483.1	0.954	0.976	1	329			Anti_CRISPR	vcrx091_093	Antidefense
NC_008613.1	NC_008613.1_59	vcrx092	59	defense-finder-models/ADF/Anti_CRISPR/vcrx091_093	NC_008613.1_vcrx091_093_2	1	1	1.0	3.0	1	vcrx092	mandatory	344	5.000000000000001e-165	541.8	0.985	0.942	13	336			Anti_CRISPR	vcrx091_093	Antidefense
NC_008613.1	NC_008613.1_60	vcrx091	60	defense-finder-models/ADF/Anti_CRISPR/vcrx091_093	NC_008613.1_vcrx091_093_2	1	1	1.0	3.0	1	vcrx091	mandatory	176	1.4e-81	266.4	0.68	0.966	1	170			Anti_CRISPR	vcrx091_093	Antidefense
NC_008613.1	NC_008613.1_61	vcrx090	61	defense-finder-models/ADF/Anti_RM/vcrx089_090	NC_008613.1_vcrx089_090_1	1	1	1.0	2.0	1	vcrx090	mandatory	303	1.9e-178	585.2	1.0	0.997	1	302			Anti_RM	vcrx089_090	Antidefense
NC_008613.1	NC_008613.1_62	vcrx089	62	defense-finder-models/ADF/Anti_RM/vcrx089_090	NC_008613.1_vcrx089_090_1	1	1	1.0	2.0	1	vcrx089	mandatory	323	2e-141	464.8	0.792	0.978	5	320			Anti_RM	vcrx089_090	Antidefense
NC_009131.1	NC_009131.1_7	arda	7	defense-finder-models/ADF/Anti_RM/arda_ardu	NC_009131.1_arda_ardu_2	1	1	1.0	1.0	1	arda	mandatory	170	3.4e-88	286.0	0.982	0.971	2	166			Anti_RM	arda_ardu	Antidefense
NC_009131.1	NC_009131.1_13	ardr	13	defense-finder-models/ADF/Anti_RM/ardr	NC_009131.1_ardr_5	1	1	1.0	1.0	1	ardr	mandatory	135	1.6e-86	279.5	1.0	0.993	1	134			Anti_RM	ardr	Antidefense
NC_009131.1	NC_009131.1_14	klca	14	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_009131.1_ardb_klca_acric11_3	1	1	1.0	0.8	1	ardb	mandatory	142	4.4999999999999996e-35	112.9	0.828	0.972	4	141			Anti_RM	ardb_klca_acric11	Antidefense
NC_009131.1	NC_009131.1_18	ardk	18	defense-finder-models/ADF/Anti_RM/ardk	NC_009131.1_ardk_4	1	1	1.0	1.0	1	ardk	mandatory	114	3.7e-49	157.5	0.991	0.982	1	112			Anti_RM	ardk	Antidefense
NC_009131.1	NC_009131.1_22	RM_Type_II__Type_II_REase27	22	defense-finder-models/RM/RM/RM_Type_II	NC_009131.1_RM_Type_II_1	1	1	1.0	2.0	1	RM_Type_II__Type_II_REase01	mandatory	405	3.4e-82	269.9	0.892	0.993	1	402			RM	RM_Type_II	Defense
NC_009131.1	NC_009131.1_23	RM_Type_II__Type_II_MTases_FAM_2	23	defense-finder-models/RM/RM/RM_Type_II	NC_009131.1_RM_Type_II_1	1	1	1.0	2.0	1	RM_Type_II__Type_II_MTases_FAM_0	mandatory	478	1.1e-119	391.5	0.981	0.776	93	463			RM	RM_Type_II	Defense
NC_009132.1	NC_009132.1_12	ardr	12	defense-finder-models/ADF/Anti_RM/ardr	NC_009132.1_ardr_4	1	1	1.0	1.0	1	ardr	mandatory	135	1.5e-86	279.5	1.0	0.993	1	134			Anti_RM	ardr	Antidefense
NC_009132.1	NC_009132.1_13	klca	13	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_009132.1_ardb_klca_acric11_2	1	1	1.0	0.8	1	ardb	mandatory	142	4.4e-35	112.9	0.828	0.972	4	141			Anti_RM	ardb_klca_acric11	Antidefense
NC_009132.1	NC_009132.1_17	ardk	17	defense-finder-models/ADF/Anti_RM/ardk	NC_009132.1_ardk_3	1	1	1.0	1.0	1	ardk	mandatory	114	3.7e-49	157.5	0.991	0.982	1	112			Anti_RM	ardk	Antidefense
NC_009132.1	NC_009132.1_21	RM_Type_II__Type_II_REase27	21	defense-finder-models/RM/RM/RM_Type_II	NC_009132.1_RM_Type_II_1	1	1	1.0	2.0	1	RM_Type_II__Type_II_REase01	mandatory	405	3.2999999999999996e-82	269.9	0.892	0.993	1	402			RM	RM_Type_II	Defense
